STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER
"06","071","007411",1400000US06071007411,"06071007411","74.11",Census Tract 74.11,CA,San Bernardino County,California,CT,1514343,0
"06","071","010041",1400000US06071010041,"06071010041","100.41",Census Tract 100.41,CA,San Bernardino County,California,CT,8128424,0
"06","071","009137",1400000US06071009137,"06071009137","91.37",Census Tract 91.37,CA,San Bernardino County,California,CT,1827642,0
"06","071","009124",1400000US06071009124,"06071009124","91.24",Census Tract 91.24,CA,San Bernardino County,California,CT,2603015,0
"06","071","008003",1400000US06071008003,"06071008003","80.03",Census Tract 80.03,CA,San Bernardino County,California,CT,1289255,0
"06","071","007606",1400000US06071007606,"06071007606","76.06",Census Tract 76.06,CA,San Bernardino County,California,CT,1811088,0
"06","071","006303",1400000US06071006303,"06071006303","63.03",Census Tract 63.03,CA,San Bernardino County,California,CT,1207018,0
"06","071","005602",1400000US06071005602,"06071005602","56.02",Census Tract 56.02,CA,San Bernardino County,California,CT,616487,0
"06","071","002043",1400000US06071002043,"06071002043","20.43",Census Tract 20.43,CA,San Bernardino County,California,CT,3549546,0
"06","071","012202",1400000US06071012202,"06071012202","122.02",Census Tract 122.02,CA,San Bernardino County,California,CT,7273142,0
"06","071","002050",1400000US06071002050,"06071002050","20.50",Census Tract 20.50,CA,San Bernardino County,California,CT,1272491,0
"06","071","009915",1400000US06071009915,"06071009915","99.15",Census Tract 99.15,CA,San Bernardino County,California,CT,5914520,33219
"06","071","010039",1400000US06071010039,"06071010039","100.39",Census Tract 100.39,CA,San Bernardino County,California,CT,3323491,20239
"06","071","002042",1400000US06071002042,"06071002042","20.42",Census Tract 20.42,CA,San Bernardino County,California,CT,5268533,0
"06","071","010040",1400000US06071010040,"06071010040","100.40",Census Tract 100.40,CA,San Bernardino County,California,CT,827302,782746
"06","071","000404",1400000US06071000404,"06071000404","4.04",Census Tract 4.04,CA,San Bernardino County,California,CT,2800022,0
"06","071","002038",1400000US06071002038,"06071002038","20.38",Census Tract 20.38,CA,San Bernardino County,California,CT,2047738,0
"06","071","004404",1400000US06071004404,"06071004404","44.04",Census Tract 44.04,CA,San Bernardino County,California,CT,1563347,0
"06","071","011205",1400000US06071011205,"06071011205","112.05",Census Tract 112.05,CA,San Bernardino County,California,CT,2783714,50424
"06","071","007409",1400000US06071007409,"06071007409","74.09",Census Tract 74.09,CA,San Bernardino County,California,CT,2284547,0
"06","071","010300",1400000US06071010300,"06071010300","103",Census Tract 103,CA,San Bernardino County,California,CT,18005085394,6351750
"06","071","003509",1400000US06071003509,"06071003509","35.09",Census Tract 35.09,CA,San Bernardino County,California,CT,1949168,0
"06","071","002606",1400000US06071002606,"06071002606","26.06",Census Tract 26.06,CA,San Bernardino County,California,CT,2788833,0
"06","071","001812",1400000US06071001812,"06071001812","18.12",Census Tract 18.12,CA,San Bernardino County,California,CT,888388,0
"06","071","003101",1400000US06071003101,"06071003101","31.01",Census Tract 31.01,CA,San Bernardino County,California,CT,1378998,0
"06","071","000817",1400000US06071000817,"06071000817","8.17",Census Tract 8.17,CA,San Bernardino County,California,CT,3965938,0
"06","071","010011",1400000US06071010011,"06071010011","100.11",Census Tract 100.11,CA,San Bernardino County,California,CT,5962740,0
"06","071","009718",1400000US06071009718,"06071009718","97.18",Census Tract 97.18,CA,San Bernardino County,California,CT,4422772,155594
"06","071","007412",1400000US06071007412,"06071007412","74.12",Census Tract 74.12,CA,San Bernardino County,California,CT,2396262,0
"06","071","011602",1400000US06071011602,"06071011602","116.02",Census Tract 116.02,CA,San Bernardino County,California,CT,3436597010,584096
"06","071","005601",1400000US06071005601,"06071005601","56.01",Census Tract 56.01,CA,San Bernardino County,California,CT,1216904,0
"06","071","002608",1400000US06071002608,"06071002608","26.08",Census Tract 26.08,CA,San Bernardino County,California,CT,8627318,0
"06","071","010030",1400000US06071010030,"06071010030","100.30",Census Tract 100.30,CA,San Bernardino County,California,CT,5545788,0
"06","071","006401",1400000US06071006401,"06071006401","64.01",Census Tract 64.01,CA,San Bernardino County,California,CT,2024263,0
"06","071","002703",1400000US06071002703,"06071002703","27.03",Census Tract 27.03,CA,San Bernardino County,California,CT,1964260,0
"06","071","003000",1400000US06071003000,"06071003000","30",Census Tract 30,CA,San Bernardino County,California,CT,1293035,0
"06","071","011500",1400000US06071011500,"06071011500","115",Census Tract 115,CA,San Bernardino County,California,CT,672938634,648142
"06","071","000606",1400000US06071000606,"06071000606","6.06",Census Tract 6.06,CA,San Bernardino County,California,CT,970274,0
"06","071","002031",1400000US06071002031,"06071002031","20.31",Census Tract 20.31,CA,San Bernardino County,California,CT,2038787,0
"06","071","001311",1400000US06071001311,"06071001311","13.11",Census Tract 13.11,CA,San Bernardino County,California,CT,1537807,0
"06","071","010038",1400000US06071010038,"06071010038","100.38",Census Tract 100.38,CA,San Bernardino County,California,CT,2573753,0
"06","071","010433",1400000US06071010433,"06071010433","104.33",Census Tract 104.33,CA,San Bernardino County,California,CT,5243892,0
"06","071","009132",1400000US06071009132,"06071009132","91.32",Census Tract 91.32,CA,San Bernardino County,California,CT,13277713,0
"06","071","005502",1400000US06071005502,"06071005502","55.02",Census Tract 55.02,CA,San Bernardino County,California,CT,1154441,0
"06","071","002308",1400000US06071002308,"06071002308","23.08",Census Tract 23.08,CA,San Bernardino County,California,CT,4420756,0
"06","071","005501",1400000US06071005501,"06071005501","55.01",Census Tract 55.01,CA,San Bernardino County,California,CT,608141,0
"06","071","002503",1400000US06071002503,"06071002503","25.03",Census Tract 25.03,CA,San Bernardino County,California,CT,1292635,0
"06","071","003102",1400000US06071003102,"06071003102","31.02",Census Tract 31.02,CA,San Bernardino County,California,CT,1297980,0
"06","071","002018",1400000US06071002018,"06071002018","20.18",Census Tract 20.18,CA,San Bernardino County,California,CT,2614958,0
"06","071","006203",1400000US06071006203,"06071006203","62.03",Census Tract 62.03,CA,San Bernardino County,California,CT,1294475,0
"06","071","005400",1400000US06071005400,"06071005400","54",Census Tract 54,CA,San Bernardino County,California,CT,1810776,0
"06","071","003503",1400000US06071003503,"06071003503","35.03",Census Tract 35.03,CA,San Bernardino County,California,CT,3936560,0
"06","071","003510",1400000US06071003510,"06071003510","35.10",Census Tract 35.10,CA,San Bernardino County,California,CT,2587037,0
"06","071","001501",1400000US06071001501,"06071001501","15.01",Census Tract 15.01,CA,San Bernardino County,California,CT,751633,0
"06","071","002312",1400000US06071002312,"06071002312","23.12",Census Tract 23.12,CA,San Bernardino County,California,CT,3318516,0
"06","071","009122",1400000US06071009122,"06071009122","91.22",Census Tract 91.22,CA,San Bernardino County,California,CT,46469049,0
"06","071","004901",1400000US06071004901,"06071004901","49.01",Census Tract 49.01,CA,San Bernardino County,California,CT,1979628,0
"06","071","001911",1400000US06071001911,"06071001911","19.11",Census Tract 19.11,CA,San Bernardino County,California,CT,1785948,0
"06","071","009719",1400000US06071009719,"06071009719","97.19",Census Tract 97.19,CA,San Bernardino County,California,CT,16843914,175613
"06","071","008405",1400000US06071008405,"06071008405","84.05",Census Tract 84.05,CA,San Bernardino County,California,CT,2017890,0
"06","071","002015",1400000US06071002015,"06071002015","20.15",Census Tract 20.15,CA,San Bernardino County,California,CT,2038821,0
"06","071","009908",1400000US06071009908,"06071009908","99.08",Census Tract 99.08,CA,San Bernardino County,California,CT,2233451,0
"06","071","008402",1400000US06071008402,"06071008402","84.02",Census Tract 84.02,CA,San Bernardino County,California,CT,2582737,0
"06","071","000503",1400000US06071000503,"06071000503","5.03",Census Tract 5.03,CA,San Bernardino County,California,CT,1292981,0
"06","071","000901",1400000US06071000901,"06071000901","9.01",Census Tract 9.01,CA,San Bernardino County,California,CT,1826385,0
"06","071","001504",1400000US06071001504,"06071001504","15.04",Census Tract 15.04,CA,San Bernardino County,California,CT,1283698,0
"06","071","009131",1400000US06071009131,"06071009131","91.31",Census Tract 91.31,CA,San Bernardino County,California,CT,6521555,0
"06","071","002049",1400000US06071002049,"06071002049","20.49",Census Tract 20.49,CA,San Bernardino County,California,CT,459292,0
"06","071","006301",1400000US06071006301,"06071006301","63.01",Census Tract 63.01,CA,San Bernardino County,California,CT,2636570,0
"06","071","006201",1400000US06071006201,"06071006201","62.01",Census Tract 62.01,CA,San Bernardino County,California,CT,1578594,0
