apn,shape_area,category,year_built,class,county,unknown,place_name
"013220104",370700,Existing,2023,distribution warehouse,San Bernardino County,"0",Rialto
"013218208",128900,Existing,1987,storage warehouse,San Bernardino County,"0",Rialto
"013213228",107200,Existing,1980,transit warehouse (truck terminal),San Bernardino County,"0",Rialto
"013219115",161900,Existing,2022,distribution warehouse,San Bernardino County,"0",Rialto
"013636140",405700,Existing,2015,distribution warehouse,San Bernardino County,"0",San Bernardino
"013632104",59700,Existing,1980,storage warehouse,San Bernardino County,"0",San Bernardino
"013639110",101600,Existing,2004,storage warehouse,San Bernardino County,"0",San Bernardino
"013646218",206800,Existing,2020,distribution warehouse,San Bernardino County,"0",San Bernardino
"013646120",262800,Existing,2020,distribution warehouse,San Bernardino County,"0",San Bernardino
"013645230",142600,Existing,2020,distribution warehouse,San Bernardino County,"0",San Bernardino
"013642221",728600,Existing,2020,distribution warehouse,San Bernardino County,"0",San Bernardino
"013645118",78500,Existing,2021,distribution warehouse,San Bernardino County,"0",San Bernardino
"013645230",207400,Existing,2020,distribution warehouse,San Bernardino County,"0",San Bernardino
"013645118",192000,Existing,2021,distribution warehouse,San Bernardino County,"0",San Bernardino
"013637139",1714900,Existing,2013,distribution warehouse,San Bernardino County,"0",San Bernardino
"013636136",2086500,Existing,2012,distribution warehouse,San Bernardino County,"0",San Bernardino
"013628232",193000,Existing,1980,light industrial,San Bernardino County,"0",San Bernardino
"013639305",223000,Existing,1980,light industrial,San Bernardino County,"0",San Bernardino
"013617135",61600,Existing,1980,distribution warehouse,San Bernardino County,"0",San Bernardino
"013635116",839300,Existing,2006,distribution warehouse,San Bernardino County,"0",San Bernardino
"013640167",150500,Existing,2001,distribution warehouse,San Bernardino County,"0",San Bernardino
"013632114",51200,Existing,1980,storage warehouse,San Bernardino County,"0",San Bernardino
"013639304",221500,Existing,2018,improvements ass'd associated apn,San Bernardino County,"0",San Bernardino
"013640180",175800,Existing,2021,improvements ass'd associated apn,San Bernardino County,"0",San Bernardino
"013632155",112000,Existing,2008,storage warehouse,San Bernardino County,"0",San Bernardino
"013647214",1258500,Existing,2013,flex,San Bernardino County,"0",San Bernardino
"013632156",513800,Existing,1980,light industrial,San Bernardino County,"0",San Bernardino
"013635112",882800,Existing,2010,improvements ass'd associated apn,San Bernardino County,"0",San Bernardino
"013635101",874400,Existing,2006,distribution warehouse,San Bernardino County,"0",San Bernardino
"013640151",75300,Existing,1990,storage warehouse,San Bernardino County,"0",San Bernardino
